,Name,Description,Extras,Tree of Wisdoms Lore 1,Tree of Wisdoms Lore 2,Easy Memories,Difficult Memories,Heart,Grail,Forge,Lantern,Scale,Edge,Nectar,Winter,Sky,Moth,Knock,Rose,Moon,Illumination,Hushery,Nyctodromy,Skolekosophy,The Bosk,Preservation,Birdsong,Horomachistry,Ithastry
0,Anbary & Lapidary,"'Lightning is a little life, and jewels are its eyes.' - Eva Dewulf",0,"(Horomachistry, Fet) Black Sapphire

The Bright Arts speak of a shining City Unbuilt. One day, we might build it in the Mansus, the great house of dreams��������� with a foundation-stone of black sap","(Ithastry, Phost) Amber

The Bright Arts speak of a shining City Unbuilt. One day, we might build it in like a jewel in the sea��������� with a foundation-stone of ",10,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,"Fet, Altars: ['Telescope'], Memories: ['Didumos' 'Forbidden Epic' 'Occult Scrap']","Phost, Altars: ['Instrument: Bells', 'Oubliette Containment', 'Shrine: the Madrugad'], Memories: ['Earthquake Name' 'Invincible Audacity']"
1,Applebright Euphonies,"Breath is the temptation of the soul.' Pleasures and insights that the Church would call 'the Secrets', the Sisterhood 'the Mysteries', and the Bureau 'unsanctioned.'",0,"(Illumination, Mettle) What May Be True

Calyptra is the law that requires secret knowledge to be forgotten - except in the libraries of the Watchman's Tree. The number of the Hours of the Calyptra is three, and we do not trust the third Hour, though we heed her. This paradox is a matter of Illumination.","(The Bosk, Ereb) What May Be Known

Calyptra is the law that requires secret knowledge to be concealed - except in the libraries of the Watchman's Tree. The number of the Hours of the Calyptra is three, and we do not speak of the oldest Hour. This observance is a matter of Bosk. ",10,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Mettle, Altars: [], Memories: ['Invincible Audacity' 'Winning Move']",,,,"Ereb, Altars: ['Calicite Altar'], Memories: [""Hive's Lament"" 'Wind-in-Waiting']",,,,
2,Auroral Contemplations,"To know what will pass in what has passed.' The practitioners of this discipline see endings and beginnings, passages and transitions, in the same mode as dawn and sunset.",0,"(Illumination, Phost) The First Sunrise
Yesterday's light determines the colours of tomorrow... and through Illumination, we learn that we all began in light.","(Nyctodromy, Fet) The Sunset Road
Each journey is a day, and we are tested as travellers and as pilgrims. That is the part these Contemplations play in the Nyctodromy Wisdom.",7,11,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Phost, Altars: ['Practice Equipment', 'Shrine: the Watchman'], Memories: ['Invincible Audacity' 'Winning Move']",,"Fet, Altars: [], Memories: ['Wormwood Dream']",,,,,,
3,Bells & Brazieries,That resonance which lingers from the hammer's touch,0,"(Ithastry, Wist) The Chime

In the right mortal's hand, the right tool can become the weapon that ends a war. This is a high purpose of Ithastry.","(Horomachistry, Mettle) The Toll

In the right mortal's hand, the right tool can become the weapon that begins a war. This is a high consequence of Horomachistry.",10,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,"Mettle, Altars: ['Great Clock', 'Telescope'], Memories: ['Didumos' 'Forbidden Epic' 'Occult Scrap']","Wist, Altars: ['Oubliette Containment', 'Shrine: the Madrugad'], Memories: ['Earthquake Name' 'Invincible Audacity']"
4,Coil & Chasm,"Worms, Seven-Coils, dangerous places; how earthquakes are bound and why they are released.",0,"(Nyctodromy, Shapt) Peacock

The Night Arts teach that the Peacock Gate is the highest door in dreams to which mortals may aspire; but that before she rose to this estate, the Gate was a Name of the Horned-Axe. All nyctodromists seek to understand what this might mean.","(Skolekosophy, Ereb) Serpent

The Night Arts speak of the Savage Door, to which Echidna, mother of monsters, keeps her Savage Key. It was the means by which the gods-who-were-stone entered the Mansus; for Echidna was once counted among their Names. All skolekosophists seek to understand what this might mean.",7,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Shapt, Altars: ['Altar: Ascite', 'Altar: St Tentreto'], Memories: ['Wormwood Dream']","Ereb, Altars: ['Nocturnary'], Memories: ['Earth-Sign' 'Earthquake Name' 'Wormwood Dream']",,,,,
5,Cracktrack,"In the Tracks of Beasts, in the Convolutions of his own Carapace, in Egg-vein and Shell-shadow, the Many-Eyed One found the Signs which can be History.",Language,"(Illumination, Phost) A Tongue of Sky

Cracktrack was a gift from the light above the world. When Glory touched the first life-motes with this language, they entered the waking world. They were Illuminated.","(Preservation, Chor) A Tongue of Earth

Cracktrack is the native tongue of the living world. As long as Cracktrack is spoken, in cloud-shape and hill-form, life persists. This is a matter of Preservation.",7,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Phost, Altars: ['Practice Equipment'], Memories: ['Invincible Audacity' 'Winning Move']",,,,,"Chor, Altars: ['Altar: Malachite'], Memories: ['Old Moment' ""Thunderskin's Paean""]",,,
6,Desires & Dissolutions,"The boundaries between flesh, pearl, and pleasure are equally contingent.",0,"(The Bosk, Ereb) Underneath

RED THE DAWN AND BLACK THE NIGHT AND WHITE WHAT'S LEFT. ABOVE WE SEE, BENEATH WE KNOW.

Bosk.","(Horomachistry, Mettle) Above

What begins in light may end in flesh. Without distinction and perception, pleasure cannot be distinguished from pain. These traditions are Horomachistry.",9,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,"Ereb, Altars: ['Calicite Altar'], Memories: [""Hive's Lament"" 'Wind-in-Waiting']",,,"Mettle, Altars: ['Telescope'], Memories: ['Didumos' 'Forbidden Epic' 'Occult Scrap']",
7,Disciplines of the Hammer,"To purify and to combine the selves and the essences. The Hammer shapes gates and shatters doors, within us and without.",0,"(Illumination, Mettle) Steel and Glass

A certain parable of the Bright Arts tells of a priest who raised an altar of steel and glass to an old god; but then found a new god within the altar.","(Nyctodromy, Shapt) Amber, Orichalcum

A certain parable of the Night Arts tells of a pilgrim who raised a gate of amber and orichalcum that they might pass to reach their destination; but then found their destination lay on this side of the gate.",7,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mettle, Altars: ['Practic Garden Dummy', 'Practice Equipment'], Memories: ['Invincible Audacity' 'Winning Move']",,"Shapt, Altars: ['Altar: Ascite'], Memories: ['Wormwood Dream']",,,,,,
8,Disciplines of the Scar,To master boundaries through their determination. The Scar marks wisdom and regrets; one is often born from the other.,0,"(Illumination, Phost) The Scar

The Mansus is the fortress of dream where the true Hours rule, and Nowhere is the scar beneath it where the Nowhere Hours lair. Without the Hours above, that scar would be an open wound. So the Bright Arts teach us.","(Hushery, Trist) The Crime

The Mansus is the fortress in dream raised by the gods-who-were-stone. Nowhere is the inevitable scar beneath it. Monstrous, the gods-from-Nowhere; but cruel, the gods-who-were-stone.",7,11,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Phost, Altars: ['Practice Equipment', 'Shrine: the Watchman'], Memories: ['Invincible Audacity' 'Winning Move']","Trist, Altars: [], Memories: ['Didumos']",,,,,,,
9,Door & Wall,"'The lock seeks its key, the wall seeks its door, and we who would pass learn at last that they are not our servants.' - Willem Harries",0,"(Nyctodromy, Shapt) What May Not Be

There is a prophecy, of a shining City that mortals might build. There is a paradox, that a City Unbuilt can always be greater than one that exists. The Night Arts teach this resolution: that the gate to that City must be fashioned from black sapphire, and raised in dreams. ","(Horomachistry, Fet) What Should Not Be

There is a prophecy, of a shining City that mortals might build. There is a paradox, that a City Unbuilt can always be greater than one that exists. The Bright Arts teach this resolution: that the Hours will always forbid the raising of that City, so that it will remain a great hope and a great travelling.",8,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,"Shapt, Altars: ['Altar: Ascite', 'Altar: St Tentreto', 'Mirrors', 'Shrine: St Januarius'], Memories: ['Wormwood Dream']",,,,,"Fet, Altars: ['Altar: St Tentreto', 'Telescope'], Memories: ['Didumos' 'Forbidden Epic' 'Occult Scrap']",
